country;Year;GDP.growth..annual...;GDP..current.US..
Australia;2002;4,0014040616517;394648911678,527
Austria;2002;1,65155392186669;213377771503,858
Azerbaijan;2002;9,43891634238625;6235856819,58445
Belarus;2002;5,04526748002185;14594249022,8922
Belgium;2002;1,70688458453354;257157820440,429
Bosnia and Herzegovina;2002;5,30000063322882;6651106833,49374
Bulgaria;2002;5,95303440817962;16402846413,0958
Croatia;2002;5,67815670956782;26813968850,5192
Cyprus;2002;3,72295649883057;11420227884,6154
Czech Republic;2002;1,56985532822202;82196001050,7474
Denmark;2002;0,46634557149423;178635163717,431
Estonia;2002;6,80239689817408;7372457379,67411
Finland;2002;1,70714896198065;139738377564,465
France;2002;1,13553148214601;1494286655373,61
Georgia;2002;5,47383680119593;3395728013,84524
Germany;2002;-0,197973834771361;2068624129493,69
Greece;2002;3,92287186165746;153830946734,425
Hungary;2002;4,7412834664994;67608919144,3684
Iceland;2002;0,681171005936406;9294652008,41791
Ireland;2002;5,91981638204682;127949874835,31
Israel;2002;-0,0148605707376106;121123828570,222
Italy;2002;0,253942998968455;1270712309429,7
Latvia;2002;7,08278843335441;9545172805,82083
Lithuania;2002;6,75141457592376;14259781159,0119
Luxembourg;2002;3,81946933291928;23616328816,1114
Macedonia;2002;1,49366547202928;4018365247,44444
Malta;2002;2,56526368373224;4470446352,32569
Moldova;2002;7,79999964149971;1661818168,4226
Monaco;2002;1,02649507922119;2968987019,23077
Montenegro;2002;1,90393392048746;1284685050,52413
Morocco;2002;3,12144965600538;42236836820,6152
Netherlands;2002;0,21727359494956;471613965744,401
Norway;2002;1,44625413960414;195524186477,617
Poland;2002;2,03590350105117;199072058823,529
Portugal;2002;0,770924024291219;134156091661,961
Romania;2002;5,70299165043771;46066101951,2933
Russia;2002;4,69999190873524;345470494417,863
San Marino;2002;0,310800310800303;1168269230,76923
Serbia;2002;6,38040530400453;17120906918,3503
Serbia and Montenegro;2002;4,142169612246;NA
Slovakia;2002;4,50944400102244;35130340673,8189
Slovenia;2002;3,50559805692072;23489890274,3142
Spain;2002;2,73102223160264;705394315829,098
Sweden;2002;2,1969210621746;266849061835,659
Switzerland;2002;0,162612986940559;301416809957,654
Turkey;2002;6,4477220524344;240248965617,668
Ukraine;2002;5,24934061999014;42351593887,2827
United Kingdom;2002;2,3243511221289;1784473920863,31
Yugoslavia;2002;4,55361892484187;NA
Albania;2003;5,5300507779332;5611492282,86582
Andorra;2003;8,69420371612468;2361726862,30248
Armenia;2003;14,0000000015501;2807061008,69084
Australia;2003;2,98593432165801;466488060570,763
Austria;2003;0,941470920725337;261695778781,038
Azerbaijan;2003;10,2083000110732;7276013031,96905
Belarus;2003;7,04319255874692;17827791321,3067
Belgium;2003;1,03798254902905;317381715575,621
Bosnia and Herzegovina;2003;3,9999997109359;8369878822,85055
Bulgaria;2003;5,15184101085522;21144983551,6823
Croatia;2003;5,63579851801137;34682900712,6654
Cyprus;2003;2,6232861229859;14547325028,3126
Czech Republic;2003;3,58368845880418;100090467581,268
Denmark;2003;0,390058556485101;218096033517,009
Estonia;2003;7,56669008183242;9877636630,53297
Finland;2003;2,00378420285061;171274266365,688
France;2003;0,823160756684118;1840480812641,08
Georgia;2003;11,0587231936646;3991284895,37214
Germany;2003;-0,700116686114356;2496128668171,56
Greece;2003;5,794530976397;201924269751,693
Hungary;2003;4,08452398526845;85302003908,042
Iceland;2003;2,26813694342812;11414055065,2466
Ireland;2003;3,01996841279508;164284689616,253
Israel;2003;0,970458541059443;126965980105,839
Italy;2003;0,138626890776507;1574145823927,77
Latvia;2003;8,43447503317574;11749456401,4266
Lithuania;2003;10,565956988762;18781721376,1985
Luxembourg;2003;1,62928558525141;29557325056,4334
Macedonia;2003;2,22260165732409;4946292774,79046
Malta;2003;4,07406758949924;5448415539,81248
Moldova;2003;6,6000000377682;1980907434,76826
Monaco;2003;1,08753659638623;3601321064,55266
Montenegro;2003;2,48265936070939;1707710053,14938
Morocco;2003;5,96116215478284;52064058833,9739
Netherlands;2003;0,155645898017013;578792325056,433
Norway;2003;0,910105664307537;228858506821,841
Poland;2003;3,49839918393234;217827260805,842
Portugal;2003;-0,930521192623061;164862142212,19
Romania;2003;2,34114732919521;57806506024,0964
Russia;2003;7,29995234453868;430347770731,787
San Marino;2003;3,87296669248644;1464326160,8154
Serbia;2003;4,38775702299594;22482365321,7656
Serbia and Montenegro;2003;3,43520819185266;NA
Slovakia;2003;5,49908215059925;46816589164,7856
Slovenia;2003;2,96026028579455;29634713641,0968
Spain;2003;2,98189483596207;905492099322,799
Sweden;2003;2,30981059032811;334337212322,076
Switzerland;2003;0,0395765719656112;352914820672,756
Turkey;2003;5,76320606924318;314595397485,462
Ukraine;2003;9,51592306455673;50084197498,4529
United Kingdom;2003;3,28637759033414;2053018775510,2
Yugoslavia;2003;3,89329497968943;NA
Albania;2004;5,5099986931984;7184681398,5698
Andorra;2004;8,13567633837351;2894921777,99851
Armenia;2004;10,4999999988202;3576615240,41616
Australia;2004;4,05545196750958;612490396927,017
Austria;2004;2,73512022241023;300904221504,842
Azerbaijan;2004;9,25380132627771;8680370408,05943
Belarus;2004;11,4497431053961;23144351851,8519
Belgium;2004;3,5712043433582;368537000248,324
Bosnia and Herzegovina;2004;6,0999667983028;10596205714,2857
Bulgaria;2004;6,44185946256435;26157894736,8421
Croatia;2004;4,15457685638678;41587470546,7946
Cyprus;2004;5,02634392575987;17320552500
Czech Republic;2004;4,81426100126959;119814434353,575
Denmark;2004;2,66821926741747;251373002954,382
Estonia;2004;6,76745571591827;12144397515,528
Finland;2004;3,99209129032087;197116960516,514
France;2004;2,82975292869891;2115742488204,62
Georgia;2004;5,79449634569851;5125365191,98664
Germany;2004;1,17508813160987;2809187981127,39
Greece;2004;5,06099275875546;240521261484,976
Hungary;2004;4,82285347250544;103960017914,058
Iceland;2004;8,04220482331569;13834750404,9624
Ireland;2004;6,72135352344678;193870692823,442
Israel;2004;4,18588241443997;135477431950,022
Italy;2004;1,42359415817907;1803226967966,23
Latvia;2004;8,50126750533843;14401882398,8552
Lithuania;2004;6,56949011753593;22627507451,5648
Luxembourg;2004;3,61217865779918;34685281847,5292
Macedonia;2004;4,67408957960916;5682719260,0763
Malta;2004;0,14026853724036;6098092511,83004
Moldova;2004;7,39999968991071;2598249555,89984
Monaco;2004;2,4704844477783;4137913500
Montenegro;2004;4,42605295805207;2073234417,68066
Morocco;2004;4,79701836216324;59626020162,3816
Netherlands;2004;1,98494571422152;657171591755,649
